pageid	title	user	userid	date	date_kind	lon	lat	method	confidence	place	resolved	osm_kind	evidence
106530812	File:191120-D-AP390-3053 (49102338987).jpg	RandomUserGuy1738	6288660	2019:11:20 01:31:23	taken	105.846509	21.025422	vision	0.90	Hỏa Lò Prison (Maison Centrale), Hanoi	Nhà tù Hỏa Lò, 1, Phố Hỏa Lò, Phường Cửa Nam, Thành phố Hà Nội, 11018, Việt Nam	tourism/museum	Green-lit arch lettered MAISON CENTRALE behind the delegation
106530844	File:191120-D-AP390-3139 (49102081806).jpg	RandomUserGuy1738	6288660	2019:11:20 01:51:41	taken	105.846509	21.025422	vision	0.95	Hỏa Lò Prison (Maison Centrale), Hanoi	Nhà tù Hỏa Lò, 1, Phố Hỏa Lò, Phường Cửa Nam, Thành phố Hà Nội, 11018, Việt Nam	tourism/museum	Black arch lettered MAISON CENTRALE over yellow gate
31409444	File:2012 Ho Chi Minh Mausoleum.jpg	Kjetil r	9672	2012-12	taken	105.834689	21.036783	vision	0.95	Ho Chi Minh Mausoleum, Ba Đình Square, Hanoi	Lăng Chủ tịch Hồ Chí Minh, 1, Đường Hùng Vương, Phường Ba Đình, Thành phố Hà Nội, 11120, V	historic/monument	Grey granite colonnaded mausoleum inscribed CHỦ TỊCH HỒ-CHÍ-MINH
107993530	File:210728-D-TT977-0167 (51340858283).jpg	RandomUserGuy1738	6288660	2021:07:28 17:12:51	taken	105.846509	21.025422	vision	0.85	Hỏa Lò Prison (Maison Centrale), Hanoi	Nhà tù Hỏa Lò, 1, Phố Hỏa Lò, Phường Cửa Nam, Thành phố Hà Nội, 11018, Việt Nam	tourism/museum	Row of shackled prisoner mannequins on sloped platform, the signature Hỏa Lò exhibit
131507646	File:40-Nha-Chung-1.jpg	Xtvl.1971	11756432	2023-05-04	taken	105.849242	21.027878	vision	0.80	Tòa Tổng Giám mục Hà Nội, 40 Nhà Chung, Hoàn Kiếm, Hanoi	Toà Tổng giám mục Hà Nội, Khu phố cổ, Phường Hoàn Kiếm, Thành phố Hà Nội, 11024, Việt Nam	landuse/religious	Curved yellow multi-storey building with entrance sign ending GIÁM MỤC HÀ NỘI
59349641	File:A Police Hospital in Hanoi city 2017.jpg	Donald Trung	6592656	2017:04:19 08:47:16	taken	105.768838	20.962785	vision	0.75	Bệnh viện Công an thành phố Hà Nội, Hanoi	Bệnh viện Công an thành phố Hà Nội, Phố Hà Cầu, Khu đô thị Văn Phú, Phường Kiến Hưng, Thàn	amenity/hospital	Facade sign reads BỆNH VIỆN CÔNG AN TP. HÀ NỘI with police emblem
26364428	File:ARMY MUSEUM HA NOI VIETNAM FEB 2012 (6832986568).jpg	File Upload Bot (Magnus Manske)	40038	2012:02:08 09:02:47	taken	105.839825	21.032590	vision	0.95	Cột cờ Hà Nội (Hanoi Flag Tower), Điện Biên Phủ Street, Hanoi	Cột cờ Hà Nội, Đường Điện Biên Phủ, Phường Ba Đình, Thành phố Hà Nội, 11120, Việt Nam	man_made/tower	Hexagonal brick Flag Tower on stepped base seen over aircraft wreckage in old army museum yard
26363942	File:ARMY MUSEUM HA NOI VIETNAM FEB 2012 (6867585550).jpg	File Upload Bot (Magnus Manske)	40038	2012:02:08 09:02:47	taken	105.839825	21.032590	vision	0.95	Cột cờ Hà Nội (Hanoi Flag Tower), Điện Biên Phủ Street, Hanoi	Cột cờ Hà Nội, Đường Điện Biên Phủ, Phường Ba Đình, Thành phố Hà Nội, 11120, Việt Nam	man_made/tower	Flag Tower above aircraft wreckage display of the old military museum
66631772	File:Another look at the Dong Xuan Market in the Hanoi old quarter (31454085665).jpg	Thesupermat2	2265333	2016:10:28 11:10:23	taken	105.849671	21.038256	vision	0.95	Đồng Xuân Market, Hoàn Kiếm, Hanoi	Chợ Đồng Xuân, Ngõ Hàng Khoai 1, Khu phố cổ, Phường Hoàn Kiếm, Thành phố Hà Nội, 11024, Vi	amenity/marketplace	Distinctive triple-gabled colonial facade of Đồng Xuân Market with motorbike parking
108169364	File:Army Museum in Hanoi (26312932305).jpg	Ltn12345	9888123	2015:12:27 04:21:05	taken	105.839825	21.032590	vision	0.95	Cột cờ Hà Nội (Hanoi Flag Tower), Điện Biên Phủ Street, Hanoi	Cột cờ Hà Nội, Đường Điện Biên Phủ, Phường Ba Đình, Thành phố Hà Nội, 11120, Việt Nam	man_made/tower	Hexagonal brick Flag Tower with red flag on stepped base
112835863	File:Army museum, 2003 Hanoi 19.jpg	Syced	27103	2003:07:27 11:20:34	taken	105.839825	21.032590	vision	0.95	Cột cờ Hà Nội (Hanoi Flag Tower), Điện Biên Phủ Street, Hanoi	Cột cờ Hà Nội, Đường Điện Biên Phủ, Phường Ba Đình, Thành phố Hà Nội, 11120, Việt Nam	man_made/tower	Close view of Flag Tower top with national flag
112835868	File:Army museum, 2003 Hanoi 20.jpg	Syced	27103	2003:07:27 11:20:25	taken	105.839825	21.032590	vision	0.95	Cột cờ Hà Nội (Hanoi Flag Tower), Điện Biên Phủ Street, Hanoi	Cột cờ Hà Nội, Đường Điện Biên Phủ, Phường Ba Đình, Thành phố Hà Nội, 11120, Việt Nam	man_made/tower	Flag Tower on three-tier brick base
149576271	File:Audience at the Grand Opera House in Hanoi (2024) 02.jpg	Bookish Worm	6972412	2024-06-20	taken	105.857834	21.024202	vision	0.85	Hanoi Opera House, Hanoi	Nhà hát Lớn, 1A, Phố Tràng Tiền, Phường Cửa Nam, Thành phố Hà Nội, 11018, Việt Nam	amenity/theatre	Horseshoe auditorium with tiered gilded balconies and columns of the Hanoi Opera House interior.
149576267	File:Audience at the Grand Opera House in Hanoi (2024).jpg	Bookish Worm	6972412	2024-06-20	taken	105.857834	21.024202	vision	0.85	Hanoi Opera House, Hanoi	Nhà hát Lớn, 1A, Phố Tràng Tiền, Phường Cửa Nam, Thành phố Hà Nội, 11018, Việt Nam	amenity/theatre	Tiered horseshoe balconies, cream-gilt columns, stage-front flowers; Opera House auditorium.
3135202	File:Ba Dinh Square 2007.jpg	Rungbachduong	208886	2007:08:19 19:53:37	taken	105.835792	21.036987	vision	0.85	Ba Đình Square, Hanoi	Quảng trường Ba Đình, Phường Ba Đình, Thành phố Hà Nội, 11120, Việt Nam	place/square	Ho Chi Minh Mausoleum silhouette and flagpole across the grass grid of the square at sunset.
11686771	File:Ba Dinh Square panorama.jpg	Grenouille vert	637652	2010:05:03 15:48:37	taken	105.835792	21.036987	vision	0.70	Ba Đình Square, Hanoi	Quảng trường Ba Đình, Phường Ba Đình, Thành phố Hà Nội, 11120, Việt Nam	place/square	Wide panorama of grass-grid parade square with central flagpole.
3004479	File:Ba Dinh Square.jpg	File Upload Bot (Magnus Manske)	40038	2007-06-15 06:01	taken	105.835792	21.036987	vision	0.90	Ba Đình Square, Hanoi	Quảng trường Ba Đình, Phường Ba Đình, Thành phố Hà Nội, 11120, Việt Nam	place/square	Ho Chi Minh Mausoleum frontal with flagpole and white-uniformed honour guard.
64218600	File:Ba Kieu Temple, Hanoi, 17th century (1) (38440030266).jpg	Ser Amantio di Nicolao	23396	2017:11:06 10:56:46	taken	105.853600	21.031160	vision	0.70	Đền Bà Kiệu, Đinh Tiên Hoàng, Hanoi	Đền Bà Kiệu, Phố Đinh Tiên Hoàng, Khu phố cổ, Phường Hoàn Kiếm, Thành phố Hà Nội, 11024, V	amenity/place_of_worship	Small shrine with red wooden doors between grey stone pillars under banyan trees.
64218551	File:Ba Kieu Temple, Hanoi, 17th century (2) (38463718842).jpg	Ser Amantio di Nicolao	23396	2017:11:06 10:48:02	taken	105.853600	21.031160	vision	0.70	Đền Bà Kiệu, Đinh Tiên Hoàng, Hanoi	Đền Bà Kiệu, Phố Đinh Tiên Hoàng, Khu phố cổ, Phường Hoàn Kiếm, Thành phố Hà Nội, 11024, V	amenity/place_of_worship	Red-doored shrine between grey pillars under banyan, motorbike parked in front.
64218553	File:Ba Kieu Temple, Hanoi, 17th century (3) (24623516518).jpg	Ser Amantio di Nicolao	23396	2017:11:06 10:48:06	taken	105.853600	21.031160	vision	0.70	Đền Bà Kiệu, Đinh Tiên Hoàng, Hanoi	Đền Bà Kiệu, Phố Đinh Tiên Hoàng, Khu phố cổ, Phường Hoàn Kiếm, Thành phố Hà Nội, 11024, V	amenity/place_of_worship	Shrine with red doors and tiled roof seen across street, shops at left, big trees.
24572378	File:Bich Cau - original side gate.JPG	Robert S Travers	2631592	2011:04:05 13:29:36	taken	105.832726	21.028735	vision	0.85	Bích Câu Đạo Quán, Cát Linh, Hanoi	Bích Câu Đạo Quán, 14, Phố Cát Linh, Phường Ô Chợ Dừa, Thành phố Hà Nội, 11511, Việt Nam	amenity/place_of_worship	"Gate banner reads ""An Quốc Tự - Bích Câu Đạo Quán"" over old arched side gate."
113081669	File:Biểu trưng Hà Nội ở mặt bên cổng trước ga Cát Linh.jpg	Tttrung	8567	2021-12-05	taken	105.828748	21.029238	vision	0.75	Ga Cát Linh, Hanoi	Ga Cát Linh, Phường Ô Chợ Dừa, Thành phố Hà Nội, 11511, Việt Nam	landuse/construction	Hanoi Khuê Văn Các emblem on metro station gate wall, elevated station structure, dusk.
